t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
t,g,g,g,g,g,w,w,w,w,w,w,w,w,g,g,g,g,g,t
t,g,g,e,g,g,g,w,w,w,w,w,w,g,g,g,b,g,g,t
t,g,t,g,g,b,g,g,w,w,w,w,g,g,g,g,g,g,g,t
t,g,g,g,g,g,g,t,g,w,w,g,g,g,g,g,g,g,g,t
t,g,g,g,g,g,g,g,g,g,g,g,g,g,t,g,g,g,g,t
t,w,t,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,w,t
t,w,w,t,g,g,g,g,g,g,e,g,g,g,g,g,e,w,w,t
t,w,w,w,g,g,g,g,t,t,t,t,g,g,g,g,w,w,w,t
t,w,w,w,w,g,g,g,t,g,g,t,g,g,g,w,w,w,w,t
t,w,w,w,w,w,e,g,t,g,g,t,g,b,w,w,w,w,w,t
t,w,w,w,w,g,g,g,t,g,g,t,g,g,t,w,w,w,w,t
t,w,w,w,g,g,g,g,t,t,t,t,g,g,g,g,w,w,w,t
t,w,w,g,g,g,b,g,g,g,g,g,g,g,b,g,g,w,w,t
t,w,g,g,g,g,g,g,g,g,g,g,g,t,g,g,g,g,w,t
t,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,t
t,g,g,g,g,t,g,g,g,g,g,g,g,g,g,g,g,g,g,t
t,g,g,t,g,g,g,g,g,e,g,g,g,g,g,t,g,g,g,t
t,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,t
t,t,t,t,t,t,t,t,g,g,g,g,t,t,t,t,t,t,t,t
